tort #,id,Insc #,tort #,rarity score,rank
486,479081d14441ad6203d9b5c7d59fb1940f4ba573b63c114a518765dfdda08619i0,45616,486,99.75,183
487,cd72649be3c5102a64dc329dc6de2652da130883edd3f69da155c08cda337321i0,39867,487,118,525
488,2a8ffd40ac70e4bf45696e0f443d8d47ab1cbd9f467ed02b3ee1846e9f3680abi0,38053,488,88.4,64
489,0eeba6addf9a80d3a80fc695837c2aa185d49f578c42ca5951d63c6ddf606588i0,40241,489,109.25,395
490,b4ea79128a0cf33e44fbf7aa6e41d16db4824629a3dd7c74d9e27d38ee414849i0,46066,490,107.8,361
491,a4d7a05cd1248f34a24047ce82095b3f5b2a40333f8b1cd81a28ff1fd6f76ff0i0,35633,491,90.2,79
492,6265fc1a1e9dd41fc69a32b6732fe1def5d800cb1e15ee0d805342169d4f3269i0,45872,492,98.2,162
493,eac6da9cbbeb47fdbf4d1fd89f1954a774c11385e5fdb9af47141e360646c6e3i0,45487,493,107.8,362
494,6e70fe126136efa494e8be2f7baee894cbae18dc74b8a0e4180ebe77f20fb35ei0,40297,494,109,386
495,ec4a1e10a87c29e115186aaafa37ed568f229a092ffa33c8744a7628b427d889i0,40169,495,107.73,359
496,6d4aeb49b8da2fc90c1d5ba452330482dfe0db6d1a45a21fbdbfb19ceabb8f75i0,45949,496,103.2,252
497,32cce0128774360e760fa069bac0244198b742709f72d628b966f2010cee4a90i0,40530,497,99.6,180
498,598eca8ec1aa949fce79eead0a98c6a95a19d311336eb91b6c88a6e7fd459dfci0,45883,498,105.45,306
499,c558a8c85ff9c65cc57693c798d7ae47ec1de315a8ed06a8150106caee8f7581i0,38970,499,98.23,164
500,3f81989463797a89b333b4f3a8fc2b139c7e1deafe474b8ef39924a2a2851386i0,40783,500,108.4,371
501,372d98ab7b5c42ccf7c5cc5b28f1c089830ebaee4b1c0eda590f1fee8be7cd80i0,16622,501,99.2,176
502,e47ab590aefd2ecca354a4327976f6801f82c32c54da73e73f9e48e7c96df70ei0,39148,502,105.8,310
503,9654d31cc7ab9c5a51a8d0c1c1230d01b2d8490bed7ae29b0043ca18f12d633ei0,39871,503,109,387
504,f86231c8686cc98c233a189e8c360013f85ec3dd9a4eecbffe13f4752fabc888i0,45480,504,90.4,81
505,c3422fb0ea885a0b5629d2685717e2d62cd057937bc5d9ee397d715d78955a9ci0,39883,505,112.8,457
506,88758bc51e978f25a1488d5b3c532c8bd8c34cc5d66752c061119d717063b4cei0,37578,506,105.4,303
507,1ab196a8e2cd098d1a14b032baacec29c00db4a4ab7ebd8e81b30cd295ce526fi0,39945,507,86.64,54
508,e1df1a202c7d04458f41feaeff38d8b567edbbe04bc89f3a3d1dbf483ff18706i0,40326,508,115.52,501
509,d865d0734b2d8dd110f18b797967ffd8d63167c05275c6aa1d35586d847bd4c2i0,18059,509,100.2,199
510,47070c0df0e40b434a390c9d27d58524e9ae3a38755ddc72bf7bff882b5c0088i0,45478,510,103.4,256
511,81444a29afc2421599979361b11ac12e8d2ede7e293a6acd279e817d04895dc8i0,40141,511,97.66,154
512,9ee636314b9a5a6c54678c19985f3d500b911629dc9490667d15d28affebb222i0,45472,512,90.6,83
513,7f743114a24e346d2b595d09cc006479d88196f0a93bd6e79fc0af8779b1cc73i0,40372,513,106.4,332
514,687a093e8d956e711d26f7324f718c0f4bd22d37d9089a34e35f78d4d55c4ca2i0,40927,514,88,62
515,ffef7ce1f3e6297e30819bc71c1a75db38fcc7f31be9648fce290b87cec1a393i0,40542,515,101.08,214
516,d7979eec219a1e85a9dc0a0f20898eacc25199edf0161e4b06ea5a151f0c7d0ai0,40526,516,103.74,261
517,b3fad7e73dcf71917dad63c6473b706d25049cf7c787c79c23b07a05ee8758bbi0,45403,517,106.21,323
518,2fc36d3ad973aaeb8692456d1512e4482d737cdc7b3a9de7cffc78eda9b6ac1ei0,40370,518,104.31,273
519,250b9a705a885376d924e3b426be765f6ad4719cb5d92a9aadf6415abc86520fi0,45868,519,123.4,543
520,e974079c3087496f8cd028663e3896683751b3532cd55c07c46b47e098098398i0,39268,520,115.4,500
521,f7cc4348cbd3c44685926a4070ba9e8603381f853f22135169e10077d934dfaai0,39885,521,114,478
522,33fe8428da3d4ad91c1e889e9fabe274d736b71075d9f5f2c74dd79aaf0792f3i0,45488,522,113.62,474
523,a130f7d0cf2bdd012e311483448b2830a84cec98e465ccdcab1bde04b8f3499di0,40170,523,97,143
524,011c6f36999feca32fef89454cf541dfa78eb81316b90cc3b15d499408c2331fi0,38955,524,101.6,229
525,089f467d60b5b87ce8e6a833ec2a9a68abf95d6fe956014f806d7497802f0601i0,45941,525,96.2,134
526,d8a8bbbba8f39ff02c41cbb4cba2a094cb2d90cd124767f72dd8dee3eebcab46i0,35734,526,97.8,156
527,e9c61323b87b7b1b7d06de56a8155d03d1e2693342a7f9238b7d0afacd4aeff3i0,45425,527,106.8,339
528,504ad973772d4bf21582b0921b56b57289f7a182de4707c04c45e18ab00533fci0,39284,528,104.6,281
529,4899d8bc3073ceb254797c6f63899132f72451851e9da3557f836a507940bbfai0,45700,529,102.6,243
530,583be02e064a833a809571428f73fc85ecbe21f83919d0cddc31e9bb78cec350i0,17198,530,101.4,224
531,2d61504b17f251b489bd45c682d184d05df872fdafc0bd7a8f0ebb6bba85710ei0,40027,531,111,425
532,5def19393ab2f2e6568c2ef1f02159829af7d54c974a3c08d1be94a42598fd49i0,17523,532,98.2,163
533,e52fd91a99174164999a05bade70ec39066a90f862f3069da1a932cdee38144fi0,40126,533,99.4,177
534,6773107eebfe5b58cb57ecccdd3021704bc586fefb5de19eba1820874997cba3i0,40543,534,123.88,545
535,9c3bb64b29da38df24f345d0ef5bf5a7cb0c6eb594846ead5e6cf453866357f8i0,17129,535,107.8,363
536,d9227e8043811387fd57673c05b6caa3f9d90305f212cdf8c543f17291fc57e6i0,35736,536,86.6,53
537,9eaf01c6fa96e5d5faa18e750aab5813af0f628635d19db03db25ccf208b1cc0i0,41053,537,97.4,149
538,3de51412355eaa04fadb777c0471e1eff1f0c862061e7e8c6d8fee31e33ca281i0,40521,538,107.2,349
539,84986f571354ac9f6734fd0cce584c9c1fbaf6f6f618a714e56c19e6456d189di0,39270,539,104.8,289
540,9fca675c1dd3a4a71bc666936cae7e4ec2b9ef5fd0ed6b6ab50cf3bd621b1ad8i0,17206,540,90.4,82
541,3a644e7c80324a31696cd7bb11dd39124e6662a1f1d1a49e5e29e09a5668fd55i0,40128,541,111.8,444
542,7380eb3e16d1ccd3b308b5e7052bbd17b1b49ebfc9ff19f5e32c98b6564fff5ei0,38966,542,99.75,184
543,a334cd6d8dff5f68bde869e52b9cc0d6c3ef6e26e8b7e6b0e1c49f250b9bb21ai0,40120,543,99.6,181
544,e0d0c857d5d7c3794244ec8c4cae6548f581fc3c7c5610e92d7f0299a4f32277i0,45687,544,88,63
545,f89159315dbd0e1f54b17f9e44f5b3fcd1280eefa25f11412d541af302ab5514i0,35629,545,111.2,431
546,267b7ece7fe47e9a97b95ec4f9a582916fe458cf52811f4bed4d6c4bd33339dbi0,37958,546,84.6,41
547,755b9ec7d7e95fb755301fd1b8b7b8c9a1aeca9a5ad418267d6da0e89a68fdd2i0,17089,547,106,314
548,???,???,548,1,1
549,???,???,549,2,2
550,???,???,550,3,3
551,???,???,551,4,4
552,???,???,552,5,5
553,???,???,553,6,6
554,???,???,554,7,7
555,???,???,555,8,8
