tort #,id,Insc #,tort #,rarity score,rank
86,66365a79bab54035843aa6c8aefeadff8d3fa63034be8c4fde66d7d29b362db9i0,26080,86,115.8,503
87,3c05ca47cb066cbdf00b13cbc42eedc9423c83cd4682958539d36048f80ecb09i0,40117,87,96,132
88,e639117fe157a922f16502a75483520a5ea504566cdecf60fea8571ea44b8f77i0,39947,88,110,409
89,a4607278e53025412feeb05c8bbc2c976ad6cf726d691519fb06926f9edf6910i0,45615,89,94.24,115
90,d5a2f67a134abf491b52ce31473c9e116ffaa61e218d92fda419662c9ad01190i0,39159,90,115.8,504
91,70291b57e39950a38deeb3310bdf81373d56030a4dfd3e76e2016da666786008i0,45344,91,105.6,307
92,7c536d06a548032e001f5614ea3435852f54d904e1e2deb8595d41cc8fc3269ai0,40245,92,124,546
93,34d8bd84fe40b5980e41e64b82af5cde6d04daf875af81326300a3bb09250b28i0,39869,93,114.8,490
94,b73a9ac61a973915d5ad791c13a95dd94fb19c2813c0acf81c815c68137c5eb3i0,40173,94,100.89,208
95,74a3e3138e548ef9792e83cb390a459ebb52ea00b7785d05ab03fc0693425785i0,40240,95,105.07,294
96,50710909c9f1f67fd1d3b4fa7eb8bd0ed9b0dc7520985365e3e12e6008ed4c16i0,39608,96,109.8,403
97,4260a0e46d7c3ce450b3ffddd5fc36ee988cc4c175c91a50d98dbbac87b21ab5i0,45693,97,107.16,342
98,2a25dac50f9c3fcb8e000f0d51d11fef614ec392f12765e7263f8dc3a6c47dbbi0,40544,98,108.4,369
99,dcc3749306e136be426f2874376d9c83144d6fe6c159ef916611f4cea2809185i0,45688,99,114.57,484
100,a2a7b736abe50d7d07740d5d9cbb10c71568500b9a9c5eb066ca007c07ac92e7i0,45881,100,102.98,247
101,7ccc2c5c2256c9792025fc2f7141c048bc3f510c48f2ed044738b70de8eb9638i0,45945,101,100.2,196
102,cff2ddb8b26290b6201079cb8d3c7febccecd35e4d1f53aecce2f62bae422388i0,46072,102,92.8,100
103,895aea6d353a4b4401de3b0ed9e52962205687ea48c177701243980bc220dd57i0,45685,103,102.2,235
104,94875334656c864da4a02e29599892a0de3601f2bb6b32d401fb9b72845e372ei0,45747,104,105,291
105,deb7f32e0baf035bba1bff6f2e7d7f401d4f05a7054454e6f75213b785344173i0,39946,105,109.2,389
106,4badb4aa45842e648723ad21a7b0e392ead66210a6bad696472059d9b0103f99i0,45626,106,105.2,297
107,b3f29cf3d412c51c65e0280b033ce6c353dde3fcfa48687fe74b9e96e557ac3ei0,38086,107,109.6,400
108,55196973f3850a9fffd8e33ab7e856d80682a267e06783cd086da6874f028a1fi0,45617,108,89.68,76
109,7e55a64cc88b5efc281bfb42f7ddba256b9d1c259d86eec810df09af45fd715fi0,45474,109,109.82,407
110,82db541aa2976a3ba2c526251013f4c98a77921768632b743f3d50df8d1982f0i0,40768,110,90,78
111,3d75d1808ea86e1464f94aa4896ec6d7a3fa66b2f674d84133c5d236ac190887i0,41051,111,106,311
112,00a18af0e96ecdd5e65fd0bd02fdbab0f73a04d257a337276dabbce9ba042346i0,40036,112,95.8,129
113,96a17b85fbdcc8ab5d504da4a734dd60bf26f3ca0cd8a950620b7e084c43c79bi0,45754,113,106.4,324
114,022e326e4f8be4867f9f0d567da7809aa688d5af747f8e64f104a40c83cf7c51i0,39875,114,89,71
115,49eee9aff7b7e25d3747e7f481767fda89347590c0839b55aaa9e511bb3b74f1i0,45424,115,119.2,529
116,767f87d07ea340499c2f0aa0d7ef31ebd7977cd9566e25260da0df37c71ece8bi0,45625,116,109.44,397
117,80028e2b2f7e29096a6af6d572041fb5413bf0e3af2169afa9b73cf2c6404ee2i0,37961,117,83.6,35
118,fbe54daaa60e7bf0192ae4905a22ae705b85694a6bc5b9d5b80e7ad26d843673i0,45622,118,106.6,333
119,37e20c2f7e3c79c334e329d22363b54ce299d8588be0218c61283d6e2b97159di0,45755,119,108.11,366
120,02ac1207f3bded1e7c90a4d870562a33839b6991b3bb876f48ac40e977e353cei0,40045,120,102,233
121,7ce25544766e011b5d3798938fb14388d577f23601e93ef579faad6968ac151ei0,39149,121,105.2,298
122,036eefd35a33befdef6077aaa45fda3f8a75428a672ad23a6fd2b332c17b6653i0,45947,122,105,292
123,cfb1c153f22d2f6f970a5fdf91098ba2b953643d74d75d6f76b7530471eaf122i0,39150,123,101.2,215
124,8badaf36a56217768a18a9e2deb775fdb1c70e6990ab03f34461768eb3512c8ci0,40522,124,116.4,512
125,943f19c89fbcab0ff9bb8b33a4a36a8884cda11f5943ef7d238333d95f820fa6i0,39161,125,91.77,90
126,304afe9229c0c825b0ba589985fcc936ac170ff0496c3776845e026f1146b0bci0,25876,126,97.4,147
127,a0c2bed6b707a9882d4f2dd56020d3d827ebe8276f58e103d37ff7cc3cc4461ai0,40157,127,114.8,491
128,17085cf320e65c014a182624a93b2d95102ce58c505f88c29b37f1229fec3529i0,39936,128,107.6,356
129,0e0f36b61af79c3bf56cf000d77c91aa7f2a4ddb1251149c26db1df9c0f7f938i0,39938,129,87.21,56
130,c5117c4a59ad7d68b2d49682bbb3505d891b1b6e59de5d23af2688480449455ai0,40331,130,110,410
131,559bfb6d9882ec41f48254299608ff0bebea9eb78ced58587dbf82f0b5e83c8di0,40242,131,116,507
132,61b15a46fa84ff890bb74cfb35a95fc97347ddcef6d0d19179d65b6557b8ebb2i0,40248,132,124.6,550
133,cb8818b467bd082e5277330f489f7a1a5e9221191d72bbdf7bea523dce1dabbei0,40250,133,108.4,370
134,b44d130b835c7b45ba3391bbda1e88af42e6283ab181e4fc088fe80f988ce729i0,40527,134,109.4,396
135,c2930ce0dbc31fd931b0ce50932f5857412595a790f8537a8380ab72c2be160ai0,45867,135,95.57,126
136,508e6811231535633fa7e261d94e6659e0b943774b0669ba04d0d760a5ee318di0,45384,136,109.2,390
137,433279b7716e62be3a2406b21035e81a7899bf3144315e2e4e5a9052478f0692i0,45261,137,107.73,357
138,8689da4f119fadf11f7ead0fa13d57ba138e402b171d8922b9c820a6965d5c77i0,37594,138,87.4,57
139,c3458450ae8f4fbdc7de5ebb2689354ded75031de9e0cf74366f6711b79a6a2fi0,39870,139,106.8,337
140,0674084f812b4dbdcb6409884362c2907c6ffe7ca21984d5d8f6951b9bd5088ci0,45481,140,100.4,201
141,a5f36a3125779fbc207cee0cf1c29f9560644dffcdd380068c14706e17aea56bi0,34968,141,102.2,236
142,db1fff09dac42b0bc82fe44f93564ce4d65a204581b3a86609c6cb7565a311d2i0,39620,142,123.6,544
143,f2ff484366d30127e534349ecdd14276d10be3efb34a36c1a98e54c716443d4di0,39611,143,102.8,244
144,5bfd3483374c7d2bda318c4994e50c7f1c0f3f07a1792fd6b6588b1e85ee0caai0,45757,144,104.6,276
145,940c88ec9a1316fc6e89e592738ffb0690ea85605b55a20ebccbf4da03131f12i0,45869,145,102.4,240
146,66a71e816b84dc0a6ab79a800c6e91ea65f6cad65c242f820ff943a915e516bai0,45402,146,115.8,505
147,a3836b5fee9e0210bfff22c9ffd3f136e7fe6cb2177a6cdfbecf2da9c616502bi0,40122,147,103.8,263
148,15bfb0291648b9346a445379bbf7773d5b5555f0d7a8514dcefe54a4ed6a7123i0,45346,148,98.61,169
149,15b2254e9c6af70183c52a3d01338581fe8f47ed1dfbc4996471450735a1e4eci0,45698,149,100.6,202
150,52f8bd1ad16f68eeb8ae9b4bfcddaceeb91074a11e0c0109d294f9257ccef3e5i0,39282,150,108,365
151,3f7649a3cb870bd7cc2afd0311f22ecc21ae806db95c50c9b3ffbf45f32bda89i0,45690,151,108.8,378
152,72e229e7efca2c3000680bae6c534b6912733ee8fe68adaa9cdd7f2a2874a218i0,45257,152,103.6,258
153,1fdca99de6ab158cd376875d8f710578a6bc1032bcb621e6a044c3610cdd086ai0,45620,153,93.4,107
154,ac9cb1a742d421df428d304817cf960de9832776d796fc24c9acf542eb7698e7i0,39623,154,119.6,531
155,5e2dcebd3462337210c91ecd7831571ea995004263847e248055d2049fb8fb75i0,40239,155,94.62,120
156,e8ac3cbc681c46295e787001b505e646b44e8faa348ea632d24227d0ed25fc65i0,40529,156,102.8,245
157,7d6422829dfbf6e0aa4451b60d04a4b42db6d8b2e833b4e4edccf208a1c89c1di0,40028,157,86.2,48
158,92ce1e214f0c8848eedd229dfc3fd3ac8528af5eb3450d5e6384110a127e0a33i0,39260,158,95.2,122
159,d6911275e5da3467ede73c57d1d5849e5988c92aedc74484d9b631c4a62a8bf7i0,45699,159,111.6,439
160,d9d11475f12bc0b2730e04104ec5776b8aa49eba0db68681e08f836719891c5ci0,40763,160,105.45,305
161,619d6c9388bb801a5ed9711065edd043a77a8a012f59218ae411f65185876d44i0,45618,161,110,411
162,1af312e94e193d1718f28307f7573216d43783205fb98f3c3847e7603d2643e7i0,40715,162,88.73,65
163,addd2359c35ae982f1a2b4844f2934c2bcd1b6cee7f8582da6ca3bfb6826e2bdi0,26589,163,103.8,264
164,120953047ef55e41e9e8567b87eaa8782f0a171d40657c8f4e8c1aebda7955dbi0,37959,164,117.4,519
165,12b9c495b80d3914dd17a435c758bc178f011422810c84af2811b6e72f029914i0,40654,165,113.62,473
166,f4ac4bd3ebe645eeab785adf3393e05be1e93d03e94a1e0e52f5d9549cf3f7c6i0,17352,166,107.2,345
167,b628a192abc346c999262c0e082620c115f40f533780b8190b8f6a0cbf1c60e6i0,35795,167,73.4,12
168,f2a8631dac0f394a636875c99ada56badd0ce0fedcda48c0c505da2725be23abi0,45264,168,86.4,50
169,ed4f926235c3218d750cbf1dcf0794273f97c4a6c643695b1a5d63fa769fae86i0,16623,169,106.8,338
170,e87d5c8aff13c6737c4bb5d684367776e9b286b4deddc567c172ab7162a7f158i0,40519,170,116.4,513
171,11887b437eaadc8ccafbc05515dedd8030b562a67fbfd584bdedd7f8361ef432i0,40713,171,91.4,88
172,a6ed559de299f5e3dcfb4974404fcbdc6ca696862c41edf036bd25b61045e9bdi0,39279,172,92.91,101
173,79cc99dc3b2561a0c764eabdb69c9069186ba49d617920c542061e3585834986i0,39157,173,113.2,464
174,4ef64d3d5ec7eaaba56fe986082115e632380c47cadf91b8cff4c7e4cd2ea3eci0,40145,174,101,209
175,f005e24b0d7b8a40c2ee9660a48c12500e9101ba8b7cb718e658ece2edaf14c0i0,38979,175,87.4,58
176,edb483b9c38120e94cfdc0120ddff93c2dacccddaabb39c49a306589e8002066i0,45948,176,100.6,203
177,0d2d8540908efed750c587da9dad1728e3e5b140864cead5f5cad96eb210b54ci0,17039,177,125.8,553
178,8da342e2dc988c0dade90ec9dcb2f107395c5ca02529d2d4a1dc7c48f6aa9b49i0,17127,178,115.2,496
179,e128de5cdf3696ab57678cf228905acb624f1304ad916324155e2c33b36c52b7i0,40929,179,116.4,514
180,7278b1dfdeaa2bf53ce99f1848730b45d1026f014be44195a6339dfe7dd1fd1fi0,35630,180,68.2,10
181,872b90606316b2bed957978e334d254f43d994000e4d6ed27ea6de7909c5496di0,40039,181,103,249
182,375b3744a4f2a4feb7aff7a3ff44b7328243ea6188b3c07cbe9ff29c8ea0ddf0i0,40303,182,104.2,267
183,42ccb19161945b64ce387d9ccd39df70bd1055707f331009b3b100ee4ca808f6i0,35183,183,88.8,66
184,9924a4fa16cf14ac663cf6b94413586800e1378350d7b360889a2fcaefd0762bi0,39151,184,101.84,232
185,794b4e369dc67e9ec10c01264195dd7929bd869dfa51c42e9e667451d2aed99di0,39272,185,109.44,398
186,05e18bf1deeab03a9cbd11ea8b37783ff1f4f90ca0eca39758a01679666e49f2i0,46161,186,93.4,108
187,a182ad731972b04176214a730ec99be94bf21fad1822771b10dba6817fa950aai0,40247,187,99.56,178
188,b5c6a05281b9873a1a58fc895aec8a9b37acff412a0ef1adea73b6de51d35c6ci0,17041,188,116,508
189,544b4fc154ae00e7ee2e9c6c60c90c6a2be1eaa8b0aa2cc4911b73bb6ba28c68i0,45871,189,98.4,165
190,2aeaf54d4129c3cca61e4116fe2154bb97c769e4adf3c925fcaa7976b25b209ai0,45483,190,106.4,325
191,13d24509ee98f34c17b6184e95b6c031eb7e265d39df2b06a32cfa0b548b45d6i0,35794,191,106.6,334
192,ddc2af32d93c19da9083f8226f9b273c009297636f24c3475c591c2d964082cfi0,38611,192,107.16,343
193,8f9e8626d4d31f06fc3eb6632de563bdef7a928afd379b215b10c305caa9e787i0,40300,193,105.4,301
194,f026f6c236f2680c672291c1cb44cbfed77103f6ef4907e00093c71b5386e966i0,39155,194,109.2,391
195,362d0742d3c18b8e01791aacd838e53f7f07aa75de356b02a88e828d8e85d815i0,45870,195,111.2,429
196,f0dac43d0851322821bfd7169afc25da8ac0014220cebf06e76a34d725d9cacai0,45694,196,98.61,170
197,f7543b3cacb4a759e0e150d0bf88999105a389cd162b02c18da417231a963ba4i0,39275,197,92.6,97
198,c7850e1f84fee87a9da9af27491db7352951fbaa84e5fce54413a94421dc042bi0,38957,198,104.2,268
